display,name_kr,name_en,ticker,type,enabled,aliases
부산주공,부산주공,,005030.KS,company,1,
한국단자공업,한국단자공업,,025540.KS,company,1,
파이버프로,파이버프로,,368770.KQ,company,1,
제노코,제노코,,361390.KQ,company,1,
와이엠씨,와이엠씨,,155650.KQ,company,1,
브이씨,브이씨,,365900.KQ,company,1,
피델릭스,피델릭스,,032580.KQ,company,1,
파워넷,파워넷,,037030.KQ,company,1,
두산밥캣,두산밥캣,,241560.KS,company,1,
GH신소재,GH신소재,,130500.KQ,company,1,
SK리츠,SK리츠,,395400.KS,company,1,
디티앤씨알오,디티앤씨알오,,383930.KQ,company,1,
에스텍,에스텍,,069510.KQ,company,1,
동양에스텍,동양에스텍,,060380.KQ,company,1,
아이컴포넌트,아이컴포넌트,,059100.KQ,company,1,
휴맥스홀딩스,휴맥스홀딩스,,028080.KQ,company,1,
쎄니트,쎄니트,,037760.KQ,company,1,
오리온홀딩스,오리온홀딩스,,001800.KS,company,1,
대성하이텍,대성하이텍,,129920.KQ,company,1,
태양금속공업,태양금속공업,,004100.KS,company,1,
성신양회,성신양회,,004980.KS,company,1,
에스제이그룹,에스제이그룹,,306040.KQ,company,1,
ESR켄달스퀘어리츠,ESR켄달스퀘어리츠,,365550.KS,company,1,
케이피에프,케이피에프,,024880.KQ,company,1,
진성티이씨,진성티이씨,,036890.KQ,company,1,
영화테크,영화테크,,265560.KQ,company,1,
헝셩그룹,헝셩그룹,,900270.KQ,company,1,
HB테크놀러지,HB테크놀러지,,078150.KQ,company,1,
우진아이엔에스,우진아이엔에스,,010400.KS,company,1,
한농화성,한농화성,,011500.KS,company,1,
덕성,덕성,,004830.KS,company,1,
상아프론테크,상아프론테크,,089980.KQ,company,1,
가온칩스,가온칩스,,399720.KQ,company,1,
세진중공업,세진중공업,,075580.KS,company,1,
램테크놀러지,램테크놀러지,,171010.KQ,company,1,
서린바이오,서린바이오,,038070.KQ,company,1,
아세아시멘트,아세아시멘트,,183190.KS,company,1,
호텔신라,호텔신라,,008770.KS,company,1,
